Tiempo,Ingresos totales,Utilidad bruta,Utilidad de operación ,EBITDA
2T 2024,69455.80312857535,31961.302174470737,9745.98176555364,13922.096083028468
1T 2024,63802.60612148751,28428.378308814594,8616.61440934002,11943.5728128699
4T 2023,66078.0,30475.0,9674.0,13149.0
3T 2023,62853.01085143204,28847.885531935073,8459.56900132275,11829.809901518796
2T 2023,61428.38802000759,27267.402891312213,8562.03623876235,11438.524637146691
1T 2023,57357.397599880795,25458.17936430975,7724.2221202024,10521.718005967907
4T 2022,61209.42790171153,27067.925048019468,9013.47750326499,11954.455245146693
3T 2022,57093.48732772651,25391.849113290347,7334.888360575071,10626.362279236262
2T 2022,57310.59922378635,25271.381289243713,7652.482268096298,10607.108274113332
1T 2022,51195.45113361231,22602.156377482057,6843.593761695654,9827.392636325114
4T 2021,53272.69155211626,23984.526558529866,7777.931586194914,10648.200343573077
3T 2021,48315.596638839466,21816.667296689317,6476.07517063645,9319.521630928804
2T 2021,47786.358993595255,22559.993447875506,7248.0802404757915,10006.982159271894
1T 2021,44690.40693672021,19921.9909338332,5899.104492809429,8807.441706916166
4T 2020,49115.552468539085,21938.932476289367,7228.86606319706,9997.834164877875
3T 2020,46734.010845961835,21367.214761846248,7119.135832770328,10074.686012719721
2T 2020,43074.655001929,19075.033669912315,5130.032411952074,8221.220564662008
1T 2020,45348.18932037066,20713.713027511836,5728.788605381143,9086.42746854843
4T 2019,51735.1247449662,22928.402601123445,6372.668451114874,9391.05419548701
3T 2019,48698.552143166955,21666.794564466232,7012.677086686622,10069.217849966226
2T 2019,47978.325808098336,22102.403535336995,6337.804932222957,9180.013943656655
1T 2019,46247.73562053852,20892.29005949488,5714.352697168594,8540.581058540392
4T 2018,50165.632931969056,23016.55613541045,7342.001548950003,10215.015326160235
3T 2018,44148.103167386806,20236.72080955599,5777.478320144682,8491.611646311303
2T 2018,52085.98543706606,22950.914246265816,6276.00895208458,9511.21681359364
1T 2018,49712.86893964255,21916.68734193612,5882.556900653713,8705.55445693481
4T 2017,55275.0,25063.0,7548.0,
